Unnamed: 0,german,english
1547,armen,poor
1548,wusstest,knew
1549,fanden,found
1550,unternehmen,company
1551,träume,dreams
1552,schläft,sleeps
1553,kostet,costs
1554,spiele,games
1555,unseres,our
1556,entlang,along
1557,johnny,Johnny
1558,versprechen,promise
1559,tiere,animals
1560,freiheit,freedom
1561,verdienen,earn
1562,aha,Aha
1563,unterhalten,entertain
1564,eingeladen,invited
1565,schaden,damage
1566,genannt,called
1567,beenden,finish
1568,ray,ray
1569,geändert,changed
1570,thomas,Thomas
1571,lächerlich,ridiculous
1572,geschlagen,beaten
1573,park,park
1574,schätzen,treasure
1575,männern,men
1576,t,t
1577,beginnt,begins
1578,ehren,honor
1579,größte,largest
1580,energie,energy
1581,fleisch,meat
1582,besonderes,special
1583,besteht,consists
1584,reichen,are sufficient
1585,robert,Robert
1586,zeitung,newspaper
1587,worum,what
1588,nachgedacht,thought about
1589,betrunken,drunk
1590,sowas,like this
1591,patienten,patients
1592,gespräch,conversation
1593,leiden,suffer
1594,taxi,taxi
1595,tötet,kills
1596,see,lake
1597,unterschied,difference
1598,wind,wind
1599,singt,sings
1600,schreien,scream
1601,daniel,Daniel
1602,sahen,saw
1603,wand,wall
1604,bus,bus
1605,lhre,Your
1606,angriff,attack
1607,verhalten,behave
1608,loch,hole
1609,interesse,interest
1610,treten,step
1611,quatsch,nonsense
1612,trifft,meets
1613,polizist,policeman
1614,blumen,flowers
1615,neuigkeiten,news
1616,bringst,bring
1617,flasche,bottle
1618,rief,called
1619,schuss,shot
1620,fassen,grasp
1621,meer,sea
1622,konntest,could
1623,schafft,creates
1624,maschine,machine
1625,spreche,speak
1626,bein,leg
1627,eddie,Eddie
1628,bekommst,get
1629,verbringen,spend
1630,bücher,books
1631,blöd,stupid
1632,frühstück,breakfast
1633,tommy,Tommy
1634,meter,meter
1635,bilder,pictures
1636,aufpassen,watch out
1637,claire,Claire
1638,dessen,whose
1639,muß,must
1640,freuen,be happy
1641,engel,angel
1642,offenbar,apparently
1643,gelegenheit,opportunity
1644,fang,catch
1645,lüge,lie
1646,ohren,ears
1647,au,ouch
1648,angetan,impressed
1649,beeil,hurry
1650,brechen,break
1651,brüder,brothers
1652,zeitpunkt,time
1653,keinem,no one
1655,brücke,bridge
1656,druck,pressure
1657,mitgebracht,brought along
1658,seufzt,sighs
1659,date,date
1660,haufen,heap
1661,oma,granny
1662,auftrag,order
1663,leer,empty
1664,entkommen,escape
1665,bobby,Bobby
1666,weißen,white
1667,lösung,solution
1668,wart,wait
1669,pause,pause
1670,irre,crazy
1671,gestellt,placed
1672,keller,cellar
1673,gebrochen,broken
1674,weinen,cry
1675,nutzen,to use
1676,wünschen,wish
1677,fragt,asks
1678,maul,mouth
1679,verantwortung,responsibility
1680,schloss,lock
1681,hut,hat
1682,lächeln,smile
1683,ryan,Ryan
1684,red,red
1685,grad,degree
1686,zweiten,second
1687,hinaus,beyond
1688,mitkommen,come along
1689,vorhin,earlier
1690,fahrt,drive
1691,gemeint,meant
1692,ernsthaft,seriously
1693,gebaut,built
1694,bombe,bomb
1695,hasst,hates
1696,versteh,understand
1697,kosten,cost
1698,zeige,show
1699,traf,met
1700,eigenes,own
1701,haar,hair
1702,fragte,asked
1703,jason,Jason
1704,operation,operation
1705,befehle,commands
1706,schmerzen,pains
1707,erklärt,explained
1708,steve,Steve
1709,dach,roof
1710,folge,consequence
1711,gelaufen,run
1712,schwarze,black
1713,dankbar,thankful
1714,gehirn,brain
1715,töte,kill
1716,mädels,girls
1717,mut,courage
1718,heilige,holy
1719,laura,Laura
1720,tier,animal
1721,system,system
1722,mannes,man's
1723,wahnsinn,craziness
1724,nee,no
1725,rose,rose
1726,club,club
1727,geschlossen,closed
1728,hintern,butt
1729,is,is
1730,thema,theme
1731,fiel,fell
1732,gehalten,held
1733,dorthin,there
1734,urlaub,vacation
1735,steig,climb
1736,vorwärts,forward
1737,überprüfen,check
1738,besseres,better
1739,beweis,proof
1740,baum,tree
1741,gebt,give
1742,funktionieren,function
1743,anscheinend,apparently
1744,lehrer,teacher
1745,hoffen,hope
1746,bessere,better
1747,isst,eats
1748,nachmittag,afternoon
1749,nem,nem
1750,risiko,risk
1751,chuck,Chuck
1752,knast,prison
1753,entschuldigt,excused
1754,gilt,applies
1755,held,hero
1756,daraus,from it
1757,erstes,first
1758,fräulein,miss
1759,rachel,Rachel
1760,prima,great
1761,brauchte,needed
1762,gewalt,force
1763,dean,dean
1764,liebes,Dear
1765,schaffst,create
1766,nachdenken,ponder
1767,tor,goal
1768,erfahrung,experience
1769,pläne,plans
1770,jagen,hunting
1771,katze,cat
1772,runde,round
1773,deutsche,German
1774,schwanz,tail
1775,taten,did
1776,lord,lord
1777,dringend,urgent
1778,commander,commander
1779,großvater,grandfather
1780,sommer,summer
1781,gezeigt,shown
1782,hinterlassen,leave behind
1783,gewissen,conscience
1784,getrunken,drunk
1785,wahre,true
1786,luke,hatch
1787,kunden,customers
1788,kate,Kate
1789,zeugen,witness
1790,geplant,planned
1791,amanda,Amanda
1792,erreicht,reached
1793,stören,disturb
1794,stein,stone
1795,atmen,breathe
1796,hose,pants
1797,weiße,white
1798,sprichst,speak
1799,größer,larger
1800,schickt,sends
1801,city,City
1802,prinz,prince
1803,behandelt,treated
1804,tote,dead
1805,überlegen,superior
1806,karten,cards
1807,it,it
1808,d,d
1809,restaurant,restaurant
1810,welchem,which
1811,roger,Roger
1812,natur,nature
1813,carter,Carter
1814,emily,Emily
1815,mami,mommy
1816,verschwindet,disappears
1817,lautet,is
1818,streit,dispute
1819,küssen,kiss
1820,sprich,speak
1821,längst,long ago
1822,fängt,catches
1823,drüber,over it
1824,gingen,went
1825,erlaubt,allowed
1826,einzigen,only
1827,bad,bathroom
1828,schmeckt,tastes
1829,kugel,bullet
1830,normalerweise,normally
1831,schwarzen,black
1832,rauf,up
1833,flug,flight
1834,beruhigen,calm
1835,walter,Walter
1836,halbe,half
1837,dan,Dan
1838,geschieht,happens
1839,einiges,some
1840,entdeckt,discovered
1841,morgens,morning
1842,schlechter,worse
1843,vollkommen,completely
1844,gelogen,lied
1845,verfolgt,pursued
1846,college,college
1847,weiteren,further
1848,chris,Chris
1849,louis,Louis
1850,eh,eh
1851,schwert,sword
1852,hunde,dogs
1853,steigen,climb
1854,verdammter,damned
1855,dürfte,should
1856,riecht,smells
1857,labor,laboratory
1858,bat,asked
1859,tim,tim
1860,arthur,Arthur
1861,mindestens,at least
1862,fisch,fish
1863,eurem,your
1864,füße,feet
1865,stehst,stand
1866,erschießen,shoot
1867,kuchen,cake
1868,versuchte,tried
1869,zustand,condition
1870,wunsch,wish
1871,gäste,guests
1872,erwähnt,mentioned
1873,farbe,color
1874,van,van
1875,einigen,some
1876,zufall,coincidence
1877,garten,garden
1878,junger,younger
1879,autos,cars
1880,abgesehen,apart
1881,fair,fair
1882,vertraut,trusted
1883,koffer,suitcase
1884,hieß,was called
1885,kurs,course
1886,wirkt,works
1887,idioten,idiots
1888,netter,nicer
1889,seitdem,since
1890,angegriffen,attacked
1891,geschichten,stories
1892,wahnsinnig,insane
1893,ähnlich,similar
1894,lily,lily
1895,aufgeben,give up
1896,england,England
1897,entführt,kidnapped
1898,ms.,ms.
1899,mistkerl,bastard
1900,solchen,such
1901,ner,ner
1902,geschossen,shot
1903,lager,warehouse
1904,besprechen,discuss
1905,reihe,row
1906,polizisten,police officers
1907,vogel,bird
1908,legt,lays
1909,strand,beach
1910,amerikaner,American
1911,schwarz,black
1912,fern,remote
1913,fick,fuck
1914,scherz,joke
1915,san,san
1916,erzählte,told
1917,wichser,wanker
1918,jake,Jake
1919,langweilig,boring
1920,womit,with which
1921,geschäfte,shops
1922,my,my
1923,kapiert,got it
1924,nachher,afterward
1925,verlangt,required
1926,schlägt,beats
1927,überzeugt,convinced
1928,irgendjemand,anyone
1929,rot,red
1930,soldat,soldier
1931,vorbereitet,prepared
1932,geschah,happened
1933,reisen,travel
1934,termin,appointment
1935,gang,gang
1936,stehlen,steal
1937,rechte,right
1938,rache,revenge
1939,bemerkt,noticed
1940,frankreich,France
1941,stört,bothers
1942,radio,radio
1943,beruhige,calm down
1944,pferde,horses
1945,vertrag,contract
1946,arbeitest,work
1947,dienst,service
1948,zählt,counts
1949,fragst,ask
1950,wesen,being
1951,bürgermeister,mayor
1952,emma,Emma
1953,fluss,flow
1954,woran,what
1955,geblieben,remained
1956,durcheinander,mixed up
1957,me,me
1958,ted,ted
1959,nette,nice
1960,test,test
1961,mister,mister
1962,dadurch,through this
1963,direktor,director
1964,wichtiger,more important
1965,kevin,Kevin
1966,scott,Scott
1967,karriere,career
1968,akte,file
1969,erinnerung,memory
1970,großmutter,grandmother
1971,erzähle,tell
1972,lösen,solve
1973,bravo,Bravo
1974,griff,handle
1975,verfolgen,track
1976,zweifel,doubt
1977,such,search
1978,sprache,language
1979,nerven,annoy
1980,officer,officer
1981,andy,Andy
1982,langer,long
1983,ziehe,pull
1984,entlassen,dismissed
1985,zweimal,twice
1986,abholen,pick up
1987,washington,Washington
1988,kollegen,colleagues
1989,doc,doc
1990,fass,barrel
1991,szene,scene
1992,robin,robin
1993,scheinen,seem
1994,bösen,evil
1995,schaffe,create
1996,pflicht,duty
1997,wache,guard
1998,neulich,recently
1999,beeilen,hurry up
2000,knie,knee
2001,alice,Alice
2002,lauter,louder
2003,spannende,exciting
2004,unschuldig,innocent
2005,folgt,follows
2006,schutz,protection
2007,weshalb,for what reason
2008,geheiratet,married
2009,woanders,elsewhere
2010,wurdest,were
2011,kuss,kiss
2012,verhindern,impede
2013,erklärung,explanation
2014,video,video
2015,rom,Rome
2016,klug,smart
2017,kräfte,forces
2018,verlangen,demand
2019,außerhalb,outside
2020,opa,grandpa
2021,selbstverständlich,of course
2022,aufstehen,stand up
2023,hassen,hate
2024,pete,pete
2025,gebrauchen,use
2026,geglaubt,believed
2027,milch,milk
2028,trink,drink
2029,gefeuert,fired
2030,erinnerungen,memories
2031,müssten,would have to
2032,suchst,looking for
2033,fährst,drive
2034,kochen,cook
2035,schwach,weak
2036,schreibt,writes
2037,schulden,debts
2038,hinein,into
2039,grenze,border
2040,braut,bride
2041,gebraucht,needed
2042,peinlich,awkward
2043,klappt,works
2044,geheimnisse,secrets
2045,joey,joey
2046,aufmerksamkeit,attention
2047,form,form
2048,umsonst,for free
2049,kennenzulernen,to get to know
2050,überlebt,survived
2051,nirgendwo,nowhere
2052,meilen,miles
2053,einfacher,easier
2054,blöde,stupid
2055,mond,moon
2056,ergibt,results
2057,daten,data
2058,merken,remember
2059,schande,shame
2060,fuck,fuck
2061,fühlte,felt
2062,jenny,Jenny
2063,sieg,victory
2064,satt,full
2065,blödsinn,nonsense
2066,adam,Adam
2067,lisa,Lisa
2068,pfund,pound
2069,handeln,act
2070,lois,lois
2071,enden,end
2072,warm,warm
2073,raten,guess
2074,übersetzung,translation
2075,kunst,art
2076,kapitän,captain
2077,desto,the more
2078,einsatz,mission
2079,schweigen,be silent
2080,krankheit,illness
2081,toller,great
2082,schatten,shadow
2083,wachen,wake
2084,tatsache,fact
2085,eric,Eric
2086,stock,stock
2087,chief,chief
2088,hingehen,go there
2089,verboten,forbidden
2090,gäbe,would exist
2091,anzug,men's suit
2092,leichen,corpses
2093,high,high
2094,beendet,finished
2095,freitag,Friday
2096,million,million
2097,verflucht,cursed
2098,dunkel,dark
2099,geb,born
2100,enttäuscht,disappointed
2101,klopfen,knock
2102,spuren,sense
2103,dreck,dirt
2104,seiten,pages
2105,mühe,effort
2106,gezogen,pulled
2107,brian,Brian
2108,kontrollieren,control
2109,knochen,bone
2110,schick,chic
2111,getrennt,separated
2112,programm,program
2113,grab,grave
2114,ebenso,as well
2115,trage,wear
2116,nachbarn,neighbors
2117,bieten,offer
2118,bestes,best
2119,elizabeth,Elizabeth
2120,fuhr,drove
2121,verlässt,leaves
2122,freundlich,friendly
2123,dennoch,nonetheless
2124,rauchen,smoke
2125,dick,thick
2126,stuhl,chair
2127,dreh,turn
2128,bester,best
2129,schicke,chic
2130,vergeben,forgive
2131,ausgehen,go out
2132,behandeln,treat
2133,trotz,despite
2134,gast,guest
2135,ändert,changes
2136,passierte,happened
2137,toilette,toilet
2138,annehmen,assume
2139,herzlichen,cordial
2140,hexe,witch
2141,erwachsen,adult
2142,jerry,Jerry
2143,pistole,gun
2144,saß,sat
2145,dreht,turns
2146,aussage,expression
2147,liebte,loved
2148,street,street
2149,genießen,enjoy
2150,eifersüchtig,jealous
2151,derjenige,the one
2152,teuer,expensive
2153,leo,Leo
2154,zähne,teeth
2155,beobachtet,observed
2156,gentlemen,gentlemen
2157,wählen,choose
2158,helft,help
2159,fliegt,flies
2160,theater,theater
2161,regen,rain
2162,feinde,enemies
2163,william,William
2164,erlauben,allow
2165,zulassen,allow
2166,schnappen,grab
2167,komplett,completely
2168,panik,panic
2169,flughafen,airport
2170,bewusst,consciously
2171,deutschen,German
2172,voraus,in advance
2173,sterbe,die
2174,solltet,should
2175,begleiten,accompany
2176,einander,each other
2177,fred,Fred
2178,erlebt,experienced
2179,weiterhin,furthermore
2180,stärker,stronger
2181,fahrer,driver
2182,konzentrieren,focus
2183,streiten,argue
2184,angeht,concerning
2185,selben,same
2186,star,star
2187,überzeugen,convince
2188,alkohol,alcohol
2189,übersetzt,translated
2190,verrückte,crazy
2191,lch,l
2192,king,king
2193,begann,began
2194,angenommen,assumed
2195,weitermachen,continue
2196,echter,real
2197,jackson,Jackson
2198,post,post
2199,mitgenommen,taken away
2200,botschaft,message
2201,ideen,ideas
2202,fehlen,miss
2203,aufgeregt,upset
2204,selbstmord,suicide
2205,dumme,stupid
2206,zurückkommen,come back
2207,irgendein,any
2208,magie,magic
2209,phil,phil
2210,schlage,hit
2211,handelt,acts
2212,treffe,meet
2213,untersuchen,investigate
2214,flucht,escape
2215,verliert,loses
2216,irgendeine,any
2217,gegenteil,opposite
2218,betrifft,regards
2219,scharf,sharp
2220,gehofft,hoped
2221,kennengelernt,met
2222,schlimmste,worst
2223,projekt,project
2224,trottel,idiot
2225,immerhin,anyway
2226,mehrere,several
2227,erwarte,expect
2228,mochte,want
2229,schwimmen,to swim
2230,zählen,to count
2231,innerhalb,within
2232,matt,frosted
2233,blind,blind
2234,schwestern,sisters
2235,code,code
2236,alan,Alan
2237,schlau,clever
2238,absicht,intention
2239,barry,Barry
2240,spielst,play
2241,zuletzt,last
2242,oliver,Oliver
2243,art.,art.
2244,englisch,English
2245,ohr,ear
2246,verletzen,injure
2247,song,song
2248,schüler,pupils
2249,schien,seemed
2250,gewinnt,wins
2251,älter,older
2252,merkwürdig,unusual
2253,judy,Judy
2254,vermisse,miss
2255,größe,size
2256,tritt,occurs
2257,trauen,trust
2258,präsidenten,presidents
2259,trick,trick
2260,harvey,Harvey
2261,doug,Doug
2262,roten,redden
2263,überlegt,considered
2264,größten,largest
2265,sonntag,Sunday
2266,zwölf,twelve
2267,vorstellung,performance
2268,schrieb,wrote
2269,reinkommen,come in
2270,killer,killer
2271,unterstützung,support
2272,antun,do to
2273,rechnung,invoice
2274,dieselbe,the same
2275,verändern,change
2276,möglicherweise,possibly
2277,definitiv,definitely
2278,locker,loose
2279,ed,ed
2280,vincent,Vincent
2281,ums,about
2282,abends,at evening
2283,frisch,fresh
2284,kohle,money
2285,fing,caught
2286,hure,whore
2287,cousin,cousin
2288,familien,families
2289,einsam,lonely
2290,lebendig,lively
2291,heiligen,holy
2292,knapp,meager
2293,ebenfalls,also
2294,überprüft,checked
2295,artikel,article
2296,gesetzt,set
2297,jederzeit,anytime
2298,kompliziert,complicated
2299,spüren,sense
2300,signal,signal
2301,amy,Amy
2302,stich,engraving
2303,kino,cinema
2304,probieren,try out
2305,tode,death
2306,wundervoll,wonderful
2307,tanz,dance
2308,geöffnet,open
2309,kerle,guys
2310,begraben,buried
2311,prozent,percent
2312,stoppen,stop
2313,hoheit,sovereignty
2314,riesen,giant
2315,rote,redness
2316,zugang,access
2317,liest,reads
2318,vorn,front
2319,wichtige,important
2320,aufmachen,open up
2321,kelly,Kelly
2322,sexy,sexy
2323,erlaubnis,permission
2324,grace,grace
2325,big,big
2326,story,story
2327,madam,madam
2328,leichter,lighter
2329,halben,half
2330,filme,films
2331,priester,priest
2332,herauszufinden,to find out
2333,packen,pack
2334,dritte,third
2335,inzwischen,in the meantime
2336,larry,Larry
2337,presse,press
2338,sitze,seats
2339,machten,made
2340,geklaut,stolen
2341,helden,heroes
2342,susan,Susan
2343,geduld,patience
2344,bühne,stage
2345,reparieren,repair
2346,hä,hey
2347,usa,USA
2348,gerechtigkeit,justice
2349,fälle,cases
2350,selten,rarely
2351,anrufe,calls
2352,unterschreiben,sign
2353,julia,Julia
2354,drücken,press
2355,mrs,Mrs.
2356,lügner,liar
2357,endet,ends
2358,dave,Dave
2359,medizin,medicine
2360,schreibe,write
2361,verhaften,arrest
2362,prozess,process
2363,samstag,Saturday
2364,amen,Amen
2365,motor,motor
2366,marie,Marie
2367,abhauen,run away
2368,chaos,chaos
2369,schönheit,beauty
2370,beinahe,almost
2371,lebst,live
2372,tolles,great
2373,anhalten,stop
2374,fremden,strangers
2375,hof,courtyard
2376,akzeptieren,accept
2377,norden,north
2378,ärzte,doctors
2379,anziehen,put on 
2380,dingen,things
2381,umgehen,evade
2382,bauch,belly
2383,gesamte,entire
2384,hübsche,pretty
2385,ertragen,bear
2386,kiste,box
2387,brennt,burns
2388,teile,parts
2389,deckung,cover
2390,landen,land
2391,berg,mountain
2392,straßen,streets
2393,aufgenommen,recorded
2394,gerufen,called
2395,untersuchung,investigation
2396,alarm,alarm
2397,blieb,remained
2398,vertraue,trust
2399,extra,extra
2400,entspann,relax
2401,beobachten,observe
2402,eindruck,impression
2403,tschüs,bye
2404,babys,babies
2405,wehtun,hurt
2406,zog,pulled
2407,iss,iss
2408,herrgott,lord
2409,echten,real
2410,springen,jump
2411,nackt,naked
2412,existiert,exists
2413,befreien,free
2414,gerät,device
2415,montag,Monday
2416,gezwungen,forced
2417,perfekte,perfect
2418,erzählst,tell
2419,bastard,bastard
2420,interessieren,interested
2421,schlechten,bad
2422,hank,Hank
2423,steigt,rises
2424,st.,St.
2425,on,on
2426,carl,Carl
2427,gekriegt,got
2428,fliehen,flee
2429,trug,wore
2430,freundschaft,friendship
2431,rate,rate
2432,papiere,papers
2433,abgeschlossen,completed
2434,schnauze,snout
2435,beruf,profession
2436,gebiet,area
2437,jeff,Jeff
2438,jedoch,however
2439,beten,pray
2440,verbunden,tied together
2441,sprachen,languages
2442,verräter,traitor
2443,wichtigste,most important
2444,prost,cheers
2445,brust,breast
2446,aufgehört,stopped
2447,kleider,dresses
2448,jacke,jacket
2449,bestellt,ordered
2450,herkommen,come here
2451,wild,wild
2452,nenne,name
2453,angesehen,viewed
2454,zuhören,listen
2455,trennen,separate
2456,schlafzimmer,bedroom
2457,vorschlag,suggestion
2458,meins,mine
2459,gift,poison
2460,ton,clay
2461,vermissen,miss
2462,angekommen,arrived
2463,beantworten,answer
2464,deutlich,clearly
2465,träumen,dream
2466,verwirrt,confused
2467,akten,files
2468,riskieren,risk
2469,b,b
2470,victor,Victor
2471,find,find
2472,erkannt,recognized
2473,beerdigung,burial
2474,müll,garbage
2475,weisst,know
2476,möge,may
2477,stellte,presented
2478,mitte,center
2479,erleben,experience
2480,geburt,birth
2481,decke,ceiling
2482,chffff,chffff
2483,wege,ways
2484,schritte,steps
2485,gibts,there is
2486,gemeldet,reported
2487,hilfst,help
2488,mittagessen,lunch
2489,weint,cries
2490,vernichten,destroy
2491,rock,rock
2492,chicago,Chicago
2493,ellen,Ellen
2494,crew,crew
2495,roy,Roy
2496,türen,doors
2497,gewehr,gun
2498,elena,Elena
2499,arbeitete,worked
2500,spiegel,mirror
2501,hauen,hit
2502,geraten,advised
2503,dritten,third
2504,ross,horse
2505,julie,Julie
2506,wetter,weather
2507,schwul,gay
2508,regel,rule
2509,befindet,is located
2510,einheit,unit
2511,german,German
2512,armer,poor
2513,gucken,look
2514,anstatt,instead of
2515,champagner,champagne
2516,gründe,reasons
2517,strafe,penalty
2518,smith,smith
2519,öfter,more often
2520,anne,Anne
2521,zelle,cell
2522,langen,long
2523,altes,old
2524,ruiniert,ruined
2525,jonathan,Jonathan
2526,kleidung,clothing
2527,gras,grass
2528,kenn,know
2529,agenten,agents
2530,herausgefunden,found out
2531,annie,Annie
2532,rechten,right
2533,brot,bread
2534,berlin,Berlin
2535,erfreut,pleased
2536,lügt,lies
2537,nehm,take
2538,harte,hardness
2539,staaten,states
2540,station,station
2541,gaben,gave
2542,hinterher,afterwards
2543,verpassen,miss
2544,geholt,fetched
2545,jesse,Jesse
2546,hemd,shirt
2547,trinke,drink
2548,klären,clear up
2549,praktisch,practical
2550,theorie,theory
2551,zunge,tongue
2552,notfall,emergency
2553,besseren,better
2554,winter,winter
2555,c,c
2556,versuchst,try
2557,dahinter,behind
2558,schwere,heavy
2559,feuern,fire
2560,lucy,Lucy
2561,schießt,shoots
2562,anführer,leader
2563,schief,wrong
2564,blau,blue
2565,bestens,excellent
2566,wartest,wait
2567,gehts,let's go
2568,morgan,Morgan
2569,unrecht,wrong
2570,leck,leak
2571,wonach,what
2572,entwickelt,developed
2573,bedeutung,meaning
2574,strom,electricity
2575,krebs,cancer
2576,gemein,mean
2577,wessen,whose
2578,minister,minister
2579,lhnen,you
2580,quelle,source
2581,zahl,number
2582,schiffe,ships
2583,schüsse,shots
2584,bricht,breaks
2585,talent,talent
2586,spitze,great
2587,fernseher,TV
2588,treiben,to drive
2589,ausgezeichnet,excellent
2590,tatort,crime scene
2591,möglichkeiten,possibilities
2592,trinkt,drinks
2593,esse,eat
2594,cop,cop
2595,details,details
2596,täter,perpetrator
2597,wahren,preserve
2598,dieb,thief
2599,offiziell,officially
2600,dienen,serve
2601,westen,west
2602,entscheidungen,decisions
2603,dauernd,constantly
2604,geschmack,taste
2605,gegenseitig,each other
2606,gewählt,chosen
2607,charlotte,Charlotte
2608,pech,bad luck
2609,verteidigen,defend
2610,schauspieler,actor
2611,personen,persons
2612,überlassen,leave
2613,publikum,audience
2614,trägst,wear
2615,wechseln,change
2616,begegnet,encountered
2617,betrogen,cheated
2618,besucht,visited
2619,vertrau,trust
2620,europa,Europe
2621,carrie,Carrie
2622,patrick,Patrick
2623,deutschland,Germany
2624,süßer,sweeter
2625,loswerden,get rid of
2626,melde,report
2627,maggie,Maggie
2628,bestätigt,confirmed
2629,gas,gas
2630,sturm,storm
2631,setze,set
2632,briefe,letters
2633,,zero
2634,penny,penny
2635,schlafe,temple
2636,wirken,works
2637,geführt,led
2638,starten,start
2639,götter,gods
2640,festhalten,hold onto
2641,geheim,secret
2642,übergeben,hand over
2643,cia,cia
2644,abteilung,department
2645,papier,paper
2646,wetten,bet
2647,gefolgt,followed
2648,verschiedene,different
2649,gleichzeitig,at the same time
2650,genie,genius
2651,hungrig,hungry
2652,inspektor,inspector
2653,zwingen,force
2654,atmet,breathes
2655,kuh,cow
2656,unterstützen,support
2657,geworfen,thrown
2658,verlor,lost
2659,süden,south
2660,pater,father
2661,menschheit,humanity
2662,versteck,hiding place
2663,tötete,killed
2664,fähigkeiten,skills
2665,beruhigt,calms
2666,rechtzeitig,punctual
2667,streng,strictly
2668,sendung,broadcast
2669,gelebt,lived
2670,treppe,stairs
2671,kim,Kim
2672,richtiger,correct
2673,aufnehmen,to record
2674,wolf,wolf
2675,pa,pa
2676,öffnet,opens
2677,dämon,demon
2678,wut,fury
2679,schlange,snake
2680,medikamente,medication
2681,geschenkt,gifted
2682,nenn,nominal
2683,gelegt,laid
2684,anfassen,touch
2685,pizza,pizza
2686,schlechtes,bad
2687,hütte,hut
2688,mantel,a coat
2689,behauptet,claims
2690,kilometer,kilometers
2691,beeilung,hurry
2692,angeblich,allegedly
2693,reiten,ride
2694,helen,Helen
2695,mittag,midday
2696,gewarnt,warned
2697,wohne,live
2698,las,read
2699,dunkelheit,darkness
2700,spazieren,stroll
2701,angel,angel
2702,hiermit,hereby
2703,schließt,closes
2704,phoebe,Phoebe
2705,vieles,many things
2706,erfüllt,fulfilled
2707,tausend,thousand
2708,sack,bag
2709,eindeutig,clearly
2710,unterhaltung,entertainment
2711,gründen,found
2712,km,km
2713,zugeben,admit
2714,mittel,medium
2715,explosion,explosion
2716,gefangenen,prisoners
2717,taylor,Taylor
2718,frische,fresh
2719,verdächtigen,suspect
2720,neugierig,curious
2721,leitung,line
2722,kennenlernen,get to know
2723,fliege,fly
2724,lebte,lived
2725,menschliche,human
2726,anderem,among other things
2727,auseinander,apart
2728,fressen,eat
2729,beides,both
2730,ficken,fuck
2731,stoff,material
2732,spüre,feel
2733,eilig,hurry
2734,stammt,comes from
2735,vorgestellt,presented
2736,linda,Linda
2737,welch,which
2738,wichtiges,important
2739,no,no
2740,gehörte,belonged
2741,mhm,mmm
2742,glaubte,believed
2743,oberst,colonel
2744,schrank,wardrobe
2745,fremde,foreign
2746,gnade,grace
2747,chloe,Chloe
2748,yo,yo
2749,entspannen,relax
2750,virus,virus
2751,schläfst,sleep
2752,einladung,invitation
2753,krieger,warrior
2754,vernünftig,reasonable
2755,fein,fine
2756,greifen,grab
2757,whoa,whoa
2758,kyle,Kyle
2759,schickte,sent
2760,per,by
2761,mitglied,member
2762,einziger,only
2763,umzubringen,to kill
2764,zurückkehren,return
2765,feld,field
2766,mexiko,Mexico
2767,erschaffen,create
2768,information,information
2769,hergekommen,came here
2770,beweg,move
2771,stärke,strength
2772,vermögen,assets
2773,verbracht,spent
2774,gewisse,certain
2775,waschen,wash
2776,howard,Howard
2777,staat,state
2778,geister,ghosts
2779,behaupten,claim
2780,schrei,scream
2781,würdet,would
2782,vögel,birds
2783,warnen,warn
2784,albert,Albert
2785,chancen,opportunities
2786,treibt,drives
2787,nannte,called
2788,vermute,suspect
2789,mitternacht,midnight
2790,jones,Jones
2791,freundinnen,girlfriends
2792,lecker,yummy
2793,klinik,clinic
2794,dicht,tight
2795,befinden,condition
2796,ließen,let
2797,bürger,citizens
2798,verursacht,caused
2799,hammer,hammer
2800,klang,sound
2801,internet,Internet
2802,aufregend,exciting
2803,grenzen,borders
2804,politik,policy
2805,superman,Superman
2806,zurecht,rightly
2807,besitz,possession
2808,cops,cops
2809,eingesperrt,locked up
2810,irren,err
2811,kommando,command
2812,schlug,hit
2813,krankenwagen,ambulance
2814,love,love
2815,öffne,open
2816,karen,Karen
2817,richten,direct
2818,mademoiselle,Mademoiselle
2819,erfunden,invented
2820,schnee,snow
2821,fühl,feel
2822,behalte,keep
2823,beschützt,protected
2824,punkte,points
2825,entfernen,remove
2826,abgehauen,ran away
2827,geträumt,dreamed
2828,stefan,Stefan
2829,dämonen,demons
2830,tränen,tears
2831,erfolgreich,successful
2832,volle,full
2833,wilson,Wilson
2834,caroline,Caroline
2835,höher,higher
2836,happy,happy
2837,brille,glasses
2838,musstest,had to
2839,heimat,hometown
2840,terry,Terry
2841,liebsten,dearest
2842,bye,bye
2843,leiter,director
2844,sean,Sean
2845,kauf,purchase
2846,spinnst,crazy
2847,werk,factory
2848,cent,cent
2849,schlacht,battle
2850,beziehungen,relationships
2851,abgemacht,agreed
2852,schreie,scream
2853,hmm,hmm
2854,bestätigen,confirm
2855,erschreckt,frightened
2856,offizier,officer
2857,that,that
2858,sara,Sarah
2859,affäre,affair
2860,empfangen,received
2861,zweck,purpose
2862,kämpfe,fights
2863,ergeben,result
2864,china,China
2865,fange,catch
2866,häuser,houses
2867,gedanke,thought
2868,tausende,thousands
2869,heutzutage,nowadays
2870,gefühlt,felt
2871,schnitt,cut
2872,carlos,Carlos
2873,harold,Harold
2874,lebend,live
2875,real,real
2876,holz,wood
2877,kaiser,emperor
2878,spielte,played
2879,begonnen,started
2880,ziehst,pull
